filename,composer,data_type,st0,st1,st2,st3,st4,st5,st6,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
debussy_pour_le_piano_3_(c)dery.mid,debussy,test,1.0,0.567307692308,0.796474358974,0.975961538462,0.572115384615,0.815705128205,0.758012820513,0.967302452316,0.732970027248,0.964577656676,0.899182561308,0.455040871935,1.0,0.659400544959,0.972752043597,0.632152588556,0.754768392371,0.673024523161,0.615803814714
debussy_preludes_1_3_(c)dery.mid,debussy,test,0.344827586207,0.156186612576,1.0,0.906693711968,0.267748478702,0.294117647059,0.261663286004,0.35142118863,0.0878552971576,0.198966408269,0.428940568475,0.84496124031,1.0,0.15503875969,0.341085271318,0.0878552971576,0.286821705426,0.191214470284,0.142118863049
debussy_preludes_1_9_(c)dery.mid,debussy,test,0.538265306122,0.418367346939,0.512755102041,0.375,1.0,0.0969387755102,0.385204081633,0.92380952381,0.0809523809524,0.780952380952,0.833333333333,0.12380952381,0.42380952381,0.27619047619,1.0,0.866666666667,0.180952380952,0.42380952381,0.295238095238
debussy_preludes_1_5_(c)dery.mid,debussy,test,0.380228136882,0.292775665399,0.48288973384,0.326996197719,1.0,0.309885931559,0.222433460076,0.363117870722,0.0171102661597,0.292775665399,0.0361216730038,0.446768060837,0.309885931559,0.0171102661597,1.0,0.0114068441065,0.298479087452,0.0551330798479,0.167300380228
debussy_preludes_2_1_(c)dery.mid,debussy,test,1.0,0.622222222222,0.911111111111,0.544444444444,0.866666666667,0.666666666667,0.477777777778,0.703125,0.703125,0.875,0.609375,0.671875,0.5625,0.203125,1.0,0.21875,0.9375,0.46875,0.203125
debussy_preludes_1_7_(c)dery.mid,debussy,test,0.702090592334,0.660278745645,1.0,0.407665505226,0.782229965157,0.705574912892,0.576655052265,0.253897550111,0.643652561247,0.844097995546,0.458797327394,0.819599109131,0.276169265033,0.244988864143,1.0,0.523385300668,0.378619153675,0.358574610245,0.378619153675
debussy_preludes_2_3_(c)dery.mid,debussy,test,1.0,0.139737991266,0.838427947598,0.532751091703,0.772925764192,0.467248908297,0.445414847162,0.870056497175,0.423728813559,0.180790960452,0.508474576271,0.576271186441,0.322033898305,0.367231638418,1.0,0.254237288136,0.350282485876,0.242937853107,0.333333333333
debussy_preludes_2_5_(c)dery.mid,debussy,test,1.0,0.762589928058,0.597122302158,0.884892086331,1.0,0.41726618705,0.697841726619,1.0,0.0,0.762589928058,0.431654676259,0.165467625899,0.812949640288,0.0719424460432,0.870503597122,0.129496402878,0.41726618705,0.575539568345,0.122302158273
debussy_preludes_2_11_(c)dery.mid,debussy,test,0.961538461538,0.752747252747,0.961538461538,0.868131868132,1.0,0.491758241758,0.821428571429,1.0,0.202749140893,0.941580756014,0.484536082474,0.718213058419,0.697594501718,0.388316151203,0.780068728522,0.470790378007,0.615120274914,0.426116838488,0.601374570447
debussy_preludes_2_9_(c)dery.mid,debussy,test,0.871951219512,0.713414634146,0.896341463415,0.762195121951,1.0,0.810975609756,0.658536585366,0.992592592593,0.0666666666667,0.866666666667,0.0888888888889,1.0,0.725925925926,0.2,0.977777777778,0.237037037037,0.985185185185,0.140740740741,0.659259259259
debussy_preludes_2_7_(c)dery.mid,debussy,test,1.0,0.477099236641,0.656488549618,0.912213740458,0.568702290076,0.931297709924,0.931297709924,0.629411764706,0.911764705882,0.735294117647,0.341176470588,0.670588235294,0.988235294118,0.417647058824,0.876470588235,0.882352941176,0.552941176471,0.435294117647,1.0
debussy_suite_bergamasque_4_(c)dery.mid,debussy,test,1.0,0.657360406091,0.700507614213,0.748730964467,0.774111675127,0.774111675127,0.771573604061,1.0,0.122507122507,0.737891737892,0.669515669516,0.116809116809,0.689458689459,0.150997150997,0.868945868946,0.507122507123,0.361823361823,0.621082621083,0.245014245014
debussy_suite_bergamasque_2_(c)dery.mid,debussy,test,1.0,0.642352941176,0.774117647059,0.712941176471,0.802352941176,0.715294117647,0.752941176471,1.0,0.210826210826,0.777777777778,0.430199430199,0.507122507123,0.678062678063,0.185185185185,0.97150997151,0.347578347578,0.518518518519,0.683760683761,0.22792022792
debussy_la_mer_1_(c)yogore.mid,debussy,test,0.685234899329,0.655704697987,0.815436241611,1.0,0.497315436242,0.548322147651,0.502684563758,0.540447504303,0.338209982788,0.840791738382,0.446643717728,0.598967297762,1.0,0.282271944923,0.63769363167,0.303786574871,0.399311531842,0.204819277108,0.439759036145
